Q20820102,Parkeisenbahn,15
Q2512606,Veloroute,14
Q3973051,Spinnerei,14
Q1187811,Universitätsstadt,14
Q3469910,performing arts center,14
Q656720,Werkstatt,14
Q674950,Wohngebiet,14
Q200764,Buchhandlung,14
Q13220204,Verwaltungseinheit zweiter Ebene,14
Q1192191,Flughafenbahn,14
Q57318,Freie und Reichsstadt,14
Q194356,Windpark,14
Q1391465,Fachschule,14
Q5926864,Gruppe von Seen,14
Q10631691,Wallfahrtskirche,14
Q234852,Keller,14
Q685204,Torturm,14
Q14911880,Katholisches Priesterseminar,14
Q721207,Yachthafen,14
Q25377652,Tarifzone,14
Q4502119,Künstlergruppe,14
Q1191732,Museumsdepot,14
Q194195,Freizeitpark,14
Q1138671,katholische Schule,14
Q1070290,Kriegsgefangenenlager,14
Q157570,Krematorium,14
Q2398990,Technikmuseum,14
Q61663696,Fahrradmietstation,14
Q21000333,Einkaufsstraße,14
Q133215,Spielbank,14
Q2451577,Trennungsbahnhof,14
Q41778911,Ortsgemeinde in Rheinland-Pfalz,14
Q127780,WTA Leipzig,14
Q179049,Naturschutzgebiet,14
Q358976,Baggersee,13
Q1815926,Leistungsfähige kreisangehörige Gemeinde,13
Q2948561,Messegelände,13
Q618172,Apelstein,13
Q99934885,Bundesoberbehörde,13
Q1129474,Kulturlandschaft,13
Q2065736,Kulturdenkmal,13
Q3889692,Musikhochschule,13
Q13406554,Sportveranstaltung,13
Q1868572,Lokomotivbahnhof,13
Q3503155,Reithalle,13
Q2072285,Atelier,13
Q19850578,optischer Telegrafenturm,13
Q98094462,Stallstadel,13
Q1501026,Gemeinschaftsschule,13
Q1180262,Residenzstadt,13
Q13883136,Gießerei,13
Q40244,Marathonlauf,13
